date,year,season,RONI
1964-02,1964,JFM,0.7
1964-03,1964,FMA,0.1
1964-04,1964,MAM,-0.4
1964-05,1964,AMJ,-0.6
1964-06,1964,MJJ,-0.6
1964-07,1964,JJA,-0.6
1964-08,1964,JAS,-0.6
1964-09,1964,ASO,-0.7
1964-10,1964,SON,-0.8
1964-11,1964,OND,-0.7
1964-12,1964,NDJ,-0.5
1965-01,1965,DJF,-0.2
1965-02,1965,JFM,0.1
1965-03,1965,FMA,0.2
1965-04,1965,MAM,0.4
1965-05,1965,AMJ,0.6
1965-06,1965,MJJ,1.0
1965-07,1965,JJA,1.4
1965-08,1965,JAS,1.7
1965-09,1965,ASO,1.9
1965-10,1965,SON,2.0
1965-11,1965,OND,2.0
1965-12,1965,NDJ,1.9
1966-01,1966,DJF,1.7
1966-02,1966,JFM,1.5
1966-03,1966,FMA,1.3
1966-04,1966,MAM,0.9
1966-05,1966,AMJ,0.5
1966-06,1966,MJJ,0.3
1966-07,1966,JJA,0.3
1966-08,1966,JAS,0.1
1966-09,1966,ASO,0.0
1966-10,1966,SON,-0.1
1966-11,1966,OND,-0.1
1966-12,1966,NDJ,-0.2
1967-01,1967,DJF,-0.2
1967-02,1967,JFM,-0.2
1967-03,1967,FMA,-0.4
1967-04,1967,MAM,-0.4
1967-05,1967,AMJ,-0.2
1967-06,1967,MJJ,0.2
1967-07,1967,JJA,0.3
1967-08,1967,JAS,0.1
1967-09,1967,ASO,0.0
1967-10,1967,SON,-0.1
1967-11,1967,OND,0.0
1967-12,1967,NDJ,0.0
1968-01,1968,DJF,-0.2
1968-02,1968,JFM,-0.3
1968-03,1968,FMA,-0.3
1968-04,1968,MAM,-0.2
1968-05,1968,AMJ,0.2
1968-06,1968,MJJ,0.5
1968-07,1968,JJA,0.7
1968-08,1968,JAS,0.6
1968-09,1968,ASO,0.5
1968-10,1968,SON,0.6
1968-11,1968,OND,0.8
1968-12,1968,NDJ,1.1
1969-01,1969,DJF,1.2
1969-02,1969,JFM,1.1
1969-03,1969,FMA,0.9
1969-04,1969,MAM,0.5
1969-05,1969,AMJ,0.4
1969-06,1969,MJJ,0.2
1969-07,1969,JJA,0.2
1969-08,1969,JAS,0.4
1969-09,1969,ASO,0.7
1969-10,1969,SON,0.8
1969-11,1969,OND,0.7
1969-12,1969,NDJ,0.6
1970-01,1970,DJF,0.5
1970-02,1970,JFM,0.3
1970-03,1970,FMA,0.3
1970-04,1970,MAM,0.1
1970-05,1970,AMJ,0.0
1970-06,1970,MJJ,-0.3
1970-07,1970,JJA,-0.6
1970-08,1970,JAS,-0.7
1970-09,1970,ASO,-0.7
1970-10,1970,SON,-0.6
1970-11,1970,OND,-0.7
1970-12,1970,NDJ,-0.9
1971-01,1971,DJF,-1.0
1971-02,1971,JFM,-1.0
1971-03,1971,FMA,-0.8
1971-04,1971,MAM,-0.6
1971-05,1971,AMJ,-0.5
1971-06,1971,MJJ,-0.4
1971-07,1971,JJA,-0.4
1971-08,1971,JAS,-0.4
1971-09,1971,ASO,-0.5
1971-10,1971,SON,-0.5
1971-11,1971,OND,-0.5
1971-12,1971,NDJ,-0.5
1972-01,1972,DJF,-0.3
1972-02,1972,JFM,0.0
1972-03,1972,FMA,0.4
1972-04,1972,MAM,0.8
1972-05,1972,AMJ,0.9
1972-06,1972,MJJ,1.1
1972-07,1972,JJA,1.3
1972-08,1972,JAS,1.5
1972-09,1972,ASO,1.7
1972-10,1972,SON,2.0
1972-11,1972,OND,2.2
1972-12,1972,NDJ,2.3
1973-01,1973,DJF,2.0
1973-02,1973,JFM,1.4
1973-03,1973,FMA,0.6
1973-04,1973,MAM,-0.2
1973-05,1973,AMJ,-0.8
1973-06,1973,MJJ,-1.1
1973-07,1973,JJA,-1.2
1973-08,1973,JAS,-1.4
1973-09,1973,ASO,-1.5
1973-10,1973,SON,-1.8
1973-11,1973,OND,-1.9
1973-12,1973,NDJ,-1.9
1974-01,1974,DJF,-1.5
1974-02,1974,JFM,-1.2
1974-03,1974,FMA,-0.9
1974-04,1974,MAM,-0.9
