date,year,season,RONI
2020-01,2020,DJF,0.1
2020-02,2020,JFM,0.1
2020-03,2020,FMA,0.0
2020-04,2020,MAM,-0.3
2020-05,2020,AMJ,-0.6
2020-06,2020,MJJ,-0.8
2020-07,2020,JJA,-0.8
2020-08,2020,JAS,-0.9
2020-09,2020,ASO,-1.2
2020-10,2020,SON,-1.5
2020-11,2020,OND,-1.5
2020-12,2020,NDJ,-1.4
2021-01,2021,DJF,-1.2
2021-02,2021,JFM,-1.0
2021-03,2021,FMA,-1.0
2021-04,2021,MAM,-0.8
2021-05,2021,AMJ,-0.6
2021-06,2021,MJJ,-0.5
2021-07,2021,JJA,-0.6
2021-08,2021,JAS,-0.7
2021-09,2021,ASO,-0.9
2021-10,2021,SON,-1.1
2021-11,2021,OND,-1.2
2021-12,2021,NDJ,-1.2
2022-01,2022,DJF,-1.2
2022-02,2022,JFM,-1.2
2022-03,2022,FMA,-1.3
2022-04,2022,MAM,-1.3
2022-05,2022,AMJ,-1.2
2022-06,2022,MJJ,-1.0
2022-07,2022,JJA,-0.9
2022-08,2022,JAS,-1.0
2022-09,2022,ASO,-1.1
2022-10,2022,SON,-1.1
2022-11,2022,OND,-1.0
2022-12,2022,NDJ,-1.0
2023-01,2023,DJF,-0.8
2023-02,2023,JFM,-0.6
2023-03,2023,FMA,-0.4
2023-04,2023,MAM,-0.2
2023-05,2023,AMJ,0.1
2023-06,2023,MJJ,0.4
2023-07,2023,JJA,0.6
2023-08,2023,JAS,0.9
2023-09,2023,ASO,1.1
2023-10,2023,SON,1.4
2023-11,2023,OND,1.5
2023-12,2023,NDJ,1.5
2024-01,2024,DJF,1.2
2024-02,2024,JFM,0.9
2024-03,2024,FMA,0.5
2024-04,2024,MAM,0.1
2024-05,2024,AMJ,-0.3
2024-06,2024,MJJ,-0.5
2024-07,2024,JJA,-0.5
2024-08,2024,JAS,-0.6
2024-09,2024,ASO,-0.8
2024-10,2024,SON,-0.8
2024-11,2024,OND,-0.9
2024-12,2024,NDJ,-1.1
2025-01,2025,DJF,-1.1
2025-02,2025,JFM,-0.9
2025-03,2025,FMA,-0.7
2025-04,2025,MAM,-0.5
2025-05,2025,AMJ,-0.5
2025-06,2025,MJJ,-0.4
2025-07,2025,JJA,-0.5
2025-08,2025,JAS,-0.6
2025-09,2025,ASO,-0.8
2025-10,2025,SON,-0.9
2025-11,2025,OND,-0.9
2025-12,2025,NDJ,-1.0
2026-01,2026,DJF,-0.9
2026-02,2026,JFM,-0.7
